"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","detailed.consolidated.boulder.turfmat","detailed.consolidated.cobbles.nobiota","detailed.consolidated.cobbles.turfmat","detailed.consolidated.rock.nobiota","detailed.consolidated.rock.turfmat","detailed.consolidated.rock.veneer","detailed.invertebratecomplex.complex1.","detailed.macroalgae.encrusting.red","detailed.macroalgae.erectcoursebranching.brown","detailed.macroalgae.erectcoursebranching.red","detailed.macroalgae.erectfinebranching.green","detailed.macroalgae.erectfinebranching.red","detailed.macroalgae.largecanopy.forming.eckloniaradiata","detailed.macroalgae.smallmixed.","detailed.octocoral.black.branching.3d.","detailed.octocoral.black.fan.2d.","detailed.sponges.crusts.","detailed.sponges.erectforms.","detailed.sponges.hollowforms.","detailed.sponges.massiveforms.","detailed.sponges.smallmixed.","detailed.unconsolidated.pebble.gravel.biogenic.","detailed.unconsolidated.pebble.gravel.gravel2.10mm.","detailed.unconsolidated.pebble.gravel.pebble10.64mm.","detailed.unconsolidated.sand.mud.coarsesand.","detailed.unconsolidated.sand.mud.finesand.","mean.relief","sd.relief"
"npz6.17",-28.0837,113.3839,20210512,"npz6.18","NPZ6","Yes",15.3846153846154,84.6153846153846,0,0,0,0,0,0,57.1428571428571,0,0,0,0,0,0,0,0,7.14285714285714,0,7.14285714285714,7.14285714285714,21.4285714285714,0,0,0,0,0,0,2.57142857142857,0.646206172658864
"npz6.4",-28.0814,113.3988,20210512,"npz6.4","NPZ6","Yes",20,80,0,0,0,0,83.3333333333333,0,0,0,0,0,0,0,0,0,0,0,6.66666666666667,3.33333333333333,0,3.33333333333333,0,0,3.33333333333333,0,0,0,1,0
"npz6.21",-28.0714,113.3992,20210512,"npz6.22","NPZ6","Yes",10.3896103896104,89.6103896103896,0,0,0,0,6.45161290322581,0,32.258064516129,0,0,0,0,0,0,0,12.9032258064516,0,0,12.9032258064516,3.2258064516129,16.1290322580645,9.67741935483871,0,0,0,6.45161290322581,0,2.15384615384615,0.36794648440312
"npz6.5",-28.0636,113.3935,20210512,"npz6.5","NPZ6","Yes",20,80,0,3.84615384615385,0,3.84615384615385,7.69230769230769,11.5384615384615,3.84615384615385,7.69230769230769,0,0,0,0,0,0,7.69230769230769,3.84615384615385,3.84615384615385,0,3.84615384615385,23.0769230769231,0,0,3.84615384615385,3.84615384615385,11.5384615384615,0,2,0.866025403784439
"npz6.12",-28.0512,113.2763,20210512,"npz6.12","NPZ6","No",23.75,76.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.C01",-28.1078,113.3706,20210512,NA,"NPZ6","Yes",22.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
"npz6.28",-28.1237,113.3663,20210512,"out6.1","NPZ6","Yes",12.5,87.5,0,0,0,0,0,0,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4285714285714,0.166666666666667,0.514495755427527
"npz6.C02",-28.118,113.385,20210512,NA,"NPZ6","Yes",21.25,78.75,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.375,12.5,0,71.875,0,0
"npz6.BOSS41",-28.1137,113.3939,20210512,NA,"NPZ6","Yes",12.5,87.5,0,0,0,0,16.6666666666667,0,10,0,0,0,0,0,0,0,0,0,0,10,16.6666666666667,20,0,0,0,0,13.3333333333333,13.3333333333333,2.27272727272727,0.702500173314209
"npz6.36",-28.1062,113.4089,20210512,"out6.9","NPZ6","Yes",26.5822784810127,73.4177215189873,8,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,0,8,0,0,48,0,1.57692307692308,1.17211183504227
"npz9.7",-27.1162,113.1964,20210515,"npz9.7","NPZ9","Yes",22.5,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5882352941176,0,26.4705882352941,52.9411764705882,1,0
"npz9.29",-27.1313,113.2089,20210515,"npz9.29","NPZ9","Yes",18.75,81.25,0,0,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7142857142857,46.4285714285714,28.5714285714286,1,0
"npz9.12",-27.1462,113.2039,20210515,"npz9.12","NPZ9","Yes",26.25,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16666666666667,0,0,95.8333333333333,0,1,0
"npz9.5",-27.151,113.214,20210515,"npz9.5","NPZ9","Yes",13.75,86.25,0,0,0,0,0,0,59.0909090909091,0,0,0,0,0,0,0,0,0,0,18.1818181818182,0,22.7272727272727,0,0,0,0,0,0,2.58333333333333,0.717281502356772
"npz9.9",-27.1288,113.1888,20210515,"npz9.9","NPZ9","Yes",8.75,91.25,0,3.33333333333333,3.33333333333333,0,0,0,23.3333333333333,3.33333333333333,0,0,0,0,0,0,0,3.33333333333333,0,3.33333333333333,10,3.33333333333333,3.33333333333333,0,0,0,43.3333333333333,0,1.29166666666667,0.464305621487537
"npz9.26",-27.1437,113.2139,20210515,"npz9.26","NPZ9","Yes",17.7215189873418,82.2784810126582,0,0,2.77777777777778,0,0,0,13.8888888888889,0,0,0,0,0,0,0,0,0,0,2.77777777777778,0,0,0,0,16.6666666666667,5.55555555555556,38.8888888888889,19.4444444444444,1.34615384615385,0.485164524037584
"npz9.11",-27.1238,113.1889,20210515,"npz9.11","NPZ9","Yes",20,80,0,0,3.44827586206897,0,10.3448275862069,0,51.7241379310345,0,0,0,0,0,0,0,0,0,0,6.89655172413793,3.44827586206897,0,0,0,0,3.44827586206897,10.3448275862069,10.3448275862069,1.23809523809524,0.538958431120797
"npz9.19",-27.1539,113.1764,20210515,"npz9.19","NPZ9","Yes",17.5,82.5,0,3.2258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.258064516129,0,64.5161290322581,0,1,0
"npz9.30",-27.1187,113.1864,20210515,"npz9.30","NPZ9","Yes",21.25,78.75,2.94117647058824,0,0,0,0,0,5.88235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5882352941176,0,70.5882352941177,0,0.95,0.223606797749979
"npz9.10",-27.1638,113.1565,20210515,"npz9.10","NPZ9","Yes",12.5,87.5,0,0,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,2.85714285714286,0,0,0,2.85714285714286,8.57142857142857,71.4285714285714,1,0
"npz9.22",-27.1537,113.1413,20210515,"npz9.22","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,45,0,1,0
"npz9.2",-27.1411,113.1465,20210515,"npz9.2","NPZ9","Yes",23.75,76.25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,60,0,1,0
"npz9.14",-27.1438,113.1364,20210515,"npz9.14","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2258064516129,96.7741935483871,0,1,0
"npz9.3",-27.1312,113.1239,20210515,"npz9.3","NPZ9","Yes",26.25,73.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0
"npz9.8",-27.1261,113.1189,20210515,"npz9.8","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7058823529412,0,85.2941176470588,0,1.08695652173913,0.51460871969619
"npz9.24",-27.1311,113.1067,20210515,"npz9.24","NPZ9","Yes",21.5189873417722,78.4810126582278,0,0,3.44827586206897,0,0,0,6.89655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89655172413793,0,41.3793103448276,41.3793103448276,0.842105263157895,0.688247201611685
"npz9.21",-27.1362,113.1014,20210515,"npz9.21","NPZ9","Yes",10,90,0,0,0,0,0,0,3.44827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7931034482759,0,34.4827586206897,48.2758620689655,0.1,0.307793505625546
"npz9.16",-27.1187,113.109,20210515,"npz9.16","NPZ9","Yes",13.75,86.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,5.71428571428571,80,0,0.96,0.2
"npz9.27",-27.1164,113.1014,20210515,"npz9.27","NPZ9","Yes",15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8571428571429,0,77.1428571428572,0,1,0
"npz9.13",-27.1113,113.1038,20210515,"npz9.13","NPZ9","Yes",31.25,68.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,0,0,0,15.3846153846154,0,80.7692307692308,0,1.04,0.2
"npz9.17",-27.1012,113.0913,20210515,"npz9.17","NPZ9","Yes",20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037,0,0,0,0,55.5555555555556,3.7037037037037,37.037037037037,0,0.956521739130435,0.474654024198412
"npz9.1",-27.0962,113.0863,20210515,"npz9.1","NPZ9","Yes",20,80,0,0,0,0,0,0,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,7.14285714285714,0,0,0,3.57142857142857,39.2857142857143,39.2857142857143,1.21739130434783,1.04257207028537
"npz9.28",-27.1013,113.0538,20210515,"npz9.28","NPZ9","Yes",16.25,83.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7096774193548,61.2903225806452,0,0
"npz9.18",-27.1236,113.0664,20210515,"npz9.18","NPZ9","Yes",17.5,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.25,0.444261658319319
"npz9.25",-27.1462,113.074,20210515,"npz9.25","NPZ9","Yes",7.5,92.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0.1,0.307793505625546
"npz9.4",-27.1163,113.1139,20210515,"npz9.4","NPZ9","Yes",18.9873417721519,81.0126582278481,0,2.85714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.7142857142857,0,51.4285714285714,0,0.818181818181818,0.394771016975861
