"sample","latitude","longitude","date","site","location","successful.count","fov.limited","fov.open","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","mean.relief","sd.relief"
"npz9.5",-27.151,113.214,20210515,"npz9.5","NPZ9","Yes",13.75,86.25,0,0,0,0,59.0909090909091,0,0,40.9090909090909,0,2.58333333333333,0.717281502356772
"npz9.9",-27.1288,113.1888,20210515,"npz9.9","NPZ9","Yes",8.75,91.25,0,0,6.66666666666667,0,23.3333333333333,3.33333333333333,3.33333333333333,20,43.3333333333333,1.29166666666667,0.464305621487537
"npz9.26",-27.1437,113.2139,20210515,"npz9.26","NPZ9","Yes",17.7215189873418,82.2784810126582,0,0,2.77777777777778,0,13.8888888888889,0,0,2.77777777777778,80.5555555555556,1.34615384615385,0.485164524037584
"npz9.11",-27.1238,113.1889,20210515,"npz9.11","NPZ9","Yes",20,80,0,0,13.7931034482759,0,51.7241379310345,0,0,10.3448275862069,24.1379310344828,1.23809523809524,0.538958431120797
"npz9.19",-27.1539,113.1764,20210515,"npz9.19","NPZ9","Yes",17.5,82.5,0,0,3.2258064516129,0,0,0,0,0,96.7741935483871,1,0
"npz9.30",-27.1187,113.1864,20210515,"npz9.30","NPZ9","Yes",21.25,78.75,0,0,2.94117647058824,0,5.88235294117647,0,0,0,91.1764705882353,0.95,0.223606797749979
"npz9.10",-27.1638,113.1565,20210515,"npz9.10","NPZ9","Yes",12.5,87.5,0,0,0,2.77777777777778,13.8888888888889,0,0,2.77777777777778,80.5555555555556,1,0
"npz9.22",-27.1537,113.1413,20210515,"npz9.22","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.2",-27.1411,113.1465,20210515,"npz9.2","NPZ9","Yes",23.75,76.25,0,0,3.84615384615385,3.84615384615385,0,0,0,0,92.3076923076923,1,0
"npz9.14",-27.1438,113.1364,20210515,"npz9.14","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.3",-27.1312,113.1239,20210515,"npz9.3","NPZ9","Yes",26.25,73.75,0,0,0,0,0,0,0,0,100,1,0
"npz9.8",-27.1261,113.1189,20210515,"npz9.8","NPZ9","Yes",21.25,78.75,0,0,0,0,0,0,0,0,100,1.08695652173913,0.51460871969619
"npz9.24",-27.1311,113.1067,20210515,"npz9.24","NPZ9","Yes",21.5189873417722,78.4810126582278,0,0,3.44827586206897,0,6.89655172413793,0,0,0,89.6551724137931,0.842105263157895,0.688247201611685
"npz9.21",-27.1362,113.1014,20210515,"npz9.21","NPZ9","Yes",10,90,0,0,0,0,3.44827586206897,0,0,0,96.551724137931,0.1,0.307793505625546
"npz9.16",-27.1187,113.109,20210515,"npz9.16","NPZ9","Yes",13.75,86.25,0,0,0,0,0,0,0,0,100,0.96,0.2
"npz9.27",-27.1164,113.1014,20210515,"npz9.27","NPZ9","Yes",15,85,0,0,0,0,0,0,0,0,100,1,0
"npz9.13",-27.1113,113.1038,20210515,"npz9.13","NPZ9","Yes",31.25,68.75,0,0,0,0,0,0,3.84615384615385,0,96.1538461538462,1.04,0.2
"npz9.17",-27.1012,113.0913,20210515,"npz9.17","NPZ9","Yes",20,80,0,0,0,0,0,0,0,3.7037037037037,96.2962962962963,0.956521739130435,0.474654024198412
"npz9.1",-27.0962,113.0863,20210515,"npz9.1","NPZ9","Yes",20,80,0,0,0,0,3.57142857142857,0,0,14.2857142857143,82.1428571428571,1.21739130434783,1.04257207028537
"npz9.28",-27.1013,113.0538,20210515,"npz9.28","NPZ9","Yes",16.25,83.75,0,0,0,0,0,0,0,0,100,0,0
"npz9.18",-27.1236,113.0664,20210515,"npz9.18","NPZ9","Yes",17.5,82.5,0,0,0,0,0,0,0,0,100,0.25,0.444261658319319
"npz9.25",-27.1462,113.074,20210515,"npz9.25","NPZ9","Yes",7.5,92.5,0,0,0,0,0,0,0,0,100,0.1,0.307793505625546
"npz9.4",-27.1163,113.1139,20210515,"npz9.4","NPZ9","Yes",18.9873417721519,81.0126582278481,0,0,2.85714285714286,0,0,0,0,0,97.1428571428571,0.818181818181818,0.394771016975861
